Company ID	Company Name (Korean)	Company Name (English)	기업설명	매출	누적투자금액 (억원)	직원수	카테고리	키워드
CP00010087	레브잇	LEVIT INC.	모바일 초저가 커머스 플랫폼 '올웨이즈'를 운영하는 기업	None	853.0	71	커머스,푸드/농업	이커머스,리뷰,신선식품,가공식품,리워드,생활용품/소품,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,WEB
CP00012485	슈카친구들	SYU CAR CHINGUDEUL CO.,LTD.	유튜브 채널 '슈카월드'를 운영하는 기업	None	None	11	콘텐츠/예술,금융/보험/핀테크	미디어,영상/비디오,투자,자산관리,주식/증권,B2C,광고,콘텐츠
CP00011268	두잇	DOEAT	팀매칭 배달앱 '두잇'을 운영하는 기업	9994965000	26.0	48	물류,푸드/농업	배송,배달,B2C,플랫폼/마켓플레이스,APP,WEB,공유경제/긱이코노미
CP00003304	뤼튼테크놀로지스	WRTN TECHNOLOGIES INC	생성 AI 플랫폼 '뤼튼'을 운영하는 기업	None	438.0	101	콘텐츠/예술,교육,AI/딥테크/블록체인	비대면교육,인공지능,B2C,구독,소프트웨어,콘텐츠,교육/컨설팅/용역,비대면/무인시스템/Untact,생성형AI
CP00000010	스푼랩스 	Spoon Radio Co.,Ltd.	오디오 라이브 방송 플랫폼 '스푼'을 운영하는 기업	45504113000	1870.0	116	콘텐츠/예술,소셜미디어/커뮤니티	라디오,커뮤니티,B2C,플랫폼/마켓플레이스,거래수수료,APP,WEB,콘텐츠,스트리밍
CP00000005	버킷플레이스	Bucketplace Co.,Ltd.	인테리어 콘텐츠 공유 커뮤니티 및 커머스 플랫폼 '오늘의집'을 운영하는 기업	240208523000	3180.0	661	커머스,소셜미디어/커뮤니티,홈리빙/펫	이커머스,커뮤니티,가구,인테리어,생활용품/소품,검색/검색엔진,B2B,B2C,플랫폼/마켓플레이스,거래수수료,APP,WEB,콘텐츠
CP00015476	풀리오	PULRIO CO.,LTD.	종아리 마사지기 브랜드 '풀리오'를 운영하는 기업	56981183000	None	46	커머스,홈리빙/펫	이커머스,생활용품/소품,B2C,상품판매/브랜드/하드웨어,WEB,상품/하드웨어
CP00010126	웰로	WAELRO CO.,LTD.	맞춤형 정부정책 추천 서비스 플랫폼 '웰로'를 운영하는 기업	1329484000	None	25	금융/보험/핀테크,인사/비즈니스/법률	자산관리,법률,소상공인,B2B,B2C,플랫폼/마켓플레이스,APP,WEB,교육/컨설팅/용역,여성창업 
CP00000048	컬리	Kurly Inc.	신선제품 새벽배송 플랫폼 '컬리'를 운영하는 기업	2072719845000	1.1	2648	커머스,물류,푸드/농업	이커머스,라스트마일,신선식품,B2C,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,APP,WEB,상품/하드웨어,비대면/무인시스템/Untact,여성창업 
CP00002159	스토어링크	STORE LINK CO.,LTD.	이커머스 마케팅 플랫폼 '스토어링크'를 운영하는 기업	9654284000	310.0	68	광고/마케팅,AI/딥테크/블록체인	애드테크,마케팅솔루션,소비자조사,빅데이터,검색/검색엔진,B2B,SaaS/엔터프라이즈,구독,WEB,데이터/API,애그리게이터
CP00000013	비바리퍼블리카	VIVA REPUBLICA CO.,LTD.	모바일 금융 종합 서비스 '토스'를 운영하는 기업	336172174000	1.5	1025	금융/보험/핀테크,통신/보안/데이터	결제/페이먼트,보험/인슈어테크,주식/증권,은행,B2B,B2C,거래수수료,APP
CP00018129	랩추종윤	LAP-CHOOJONGYOON CORP.	축구 유튜브 채널 '이스타TV' 및 팟캐스트 서비스 '히팟'을 운영하는 기업	3328659000	None	25	콘텐츠/예술,피트니스/스포츠	방송,스포츠/운동,B2C,플랫폼/마켓플레이스,APP,WEB,콘텐츠
CP00000042	클래스101	CLASS 101 CO.,LTD.	온라인 기반 취미 클래스 플랫폼 '클래스101'을 운영하는 기업	None	586.1	43	커머스,콘텐츠/예술,교육	이커머스,영상/비디오,취미교육,비대면교육,B2C,플랫폼/마켓플레이스,구독,거래수수료,APP,WEB,콘텐츠,교육/컨설팅/용역,비대면/무인시스템/Untact,에듀테크
CP00011594	디웨일	DWHALE INC.	성과 관리 서비스 '클랩'을 운영하는 기업	None	None	25	인사/비즈니스/법률	조직관리/조직문화,인사솔루션,협업툴/생산성,클라우드,B2B,SaaS/엔터프라이즈,소프트웨어
CP00002430	페이히어	Payhere Inc.	클라우드 기반 모바일 포스를 개발하는 기업	None	490.0	253	금융/보험/핀테크,제조/하드웨어	스마트오더,결제/페이먼트,POS,B2B,SaaS/엔터프라이즈,APP,WEB,상품/하드웨어,소프트웨어,오프라인매장
CP00014650	달파	DALPHA INC.	기업 맞춤형 AI 솔루션을 운영하는 기업	115900000	133.0	37	AI/딥테크/블록체인	프로그래밍개발,인공지능,B2B,소프트웨어,데이터/API
CP00003232	라포랩스	Rapport Labs Inc.	4050 여성 패션 플랫폼 '퀸잇'을 운영하는 기업	41261128000	855.0	150	커머스,패션	이커머스,큐레이션,의류,신발,패션잡화,쥬얼리,명품/중고명품,인공지능,빅데이터,B2C,여성,시니어/실버,플랫폼/마켓플레이스,거래수수료,APP,O2O,비대면/무인시스템/Untact
CP00000086	당근마켓	Danggeun Market Inc.	지역 기반 중고 직거래 플랫폼 '당근'을 운영하는 기업	None	2259.0	490	커머스	이커머스,중고,B2C,플랫폼/마켓플레이스,APP,WEB,중고거래/중고명품,O2O,리셀
